,case_user_doc_number,adm_case_user_name,case_common_parts_law_article,case_user_entry_date,case_doc_subject_rf,case_user_doc_court,case_user_doc_result,case_user_doc_result_date,link,year
91,22К-2342/2021,,,14.04.2021,Ростовская область,Ростовский областной суд,ВЫНЕСЕНО РЕШЕНИЕ (ОПРЕДЕЛЕНИЕ),,"https://bsr.sudrf.ru/bigs/showDocument.html#id=6c67901548f51e9dfdab4930accfcdd5&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
92,22К-3111/2021,,,24.05.2021,Ростовская область,Ростовский областной суд,ВЫНЕСЕНО РЕШЕНИЕ (ОПРЕДЕЛЕНИЕ),,"https://bsr.sudrf.ru/bigs/showDocument.html#id=cd1117a89002c4253ab85d08324089a3&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
93,22К-4058/2021,,,05.07.2021,Ростовская область,Ростовский областной суд,ВЫНЕСЕНО РЕШЕНИЕ (ОПРЕДЕЛЕНИЕ),,"https://bsr.sudrf.ru/bigs/showDocument.html#id=caa13fba2551aaba5772d24d78df9e14&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
94,22К-4811/2021,,,04.08.2021,Ростовская область,Ростовский областной суд,ВЫНЕСЕНО РЕШЕНИЕ (ОПРЕДЕЛЕНИЕ),,"https://bsr.sudrf.ru/bigs/showDocument.html#id=f9574aa9ab7f9dd495c9c5402e61cd44&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
95,22К-4596/2021,,,20.12.2021,Иркутская область,Иркутский областной суд,,,"https://bsr.sudrf.ru/bigs/showDocument.html#id=50416fab0538203da78ca074ac00c981&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
96,10-2/2021,,,15.01.2021,Астраханская область,Приволжский районный суд,СНЯТО с апелляционного рассмотрения,,"https://bsr.sudrf.ru/bigs/showDocument.html#id=bffc6660fbb755f732461beaa41775bc&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
97,22К-103/2022 (22К-4596/2021;),,,20.12.2021,Иркутская область,Иркутский областной суд,ВЫНЕСЕНО РЕШЕНИЕ (ОПРЕДЕЛЕНИЕ),,"https://bsr.sudrf.ru/bigs/showDocument.html#id=fcffee47718f6478a871eb3f2e80c563&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
98,10-23/2021,,,12.10.2021,город Севастополь,Ленинский районный суд,Вынесено другое ПОСТАНОВЛЕНИЕ,27.10.2021,"https://bsr.sudrf.ru/bigs/showDocument.html#id=7ff709c18f7a490ff8d2bd35222c4d66&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
99,10-21/2021,,,01.10.2021,город Севастополь,Ленинский районный суд,СНЯТО с апелляционного рассмотрения,,"https://bsr.sudrf.ru/bigs/showDocument.html#id=2dd2fec1a89abfc5a45d3b4894465664&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:90,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
100,22К-5037/2021,,,16.11.2021,Волгоградская область,Волгоградский областной суд,ВЫНЕСЕНО РЕШЕНИЕ (ОПРЕДЕЛЕНИЕ),,"https://bsr.sudrf.ru/bigs/showDocument.html#id=ef15b7b3369636c0292de81cdc0e7877&shard=%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0&from=p&r={%22start%22:100,%22rows%22:10,%22uid%22:%224b1c5b6e-c19d-4965-bd0e-df0d7b72efad%22,%22type%22:%22MULTIQUERY%22,%22multiqueryRequest%22:{%22queryRequests%22:[{%22type%22:%22Q%22,%22request%22:%22{\%22mode\%22:\%22EXTENDED\%22,\%22typeRequests\%22:[{\%22fieldRequests\%22:[{\%22name\%22:\%22u_case_user_article\%22,\%22operator\%22:\%22EX\%22,\%22query\%22:\%22%D0%A1%D1%82%D0%B0%D1%82%D1%8C%D1%8F%20214\%22,\%22sQuery\%22:null}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0\%22,\%22typesMode\%22:\%22AND\%22},{\%22fieldRequests\%22:[{\%22name\%22:\%22case_user_doc_entry_date\%22,\%22operator\%22:\%22B\%22,\%22query\%22:\%222021-01-01T00:00:00\%22,\%22sQuery\%22:\%222021-12-31T00:00:00\%22,\%22fieldName\%22:\%22case_user_doc_entry_date\%22}],\%22mode\%22:\%22AND\%22,\%22name\%22:\%22common\%22,\%22typesMode\%22:\%22AND\%22}]}%22,%22operator%22:%22AND%22,%22queryRequestRole%22:%22CATEGORIES%22},{%22type%22:%22SQ%22,%22queryId%22:%227f9e8ff8-4bc8-46aa-bcbd-f2b3ed5f159f%22,%22operator%22:%22AND%22}]},%22sorts%22:[{%22field%22:%22score%22,%22order%22:%22desc%22}],%22simpleSearchFieldsBundle%22:null,%22groups%22:[%22%D0%A3%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BD%D1%8B%D0%B5%20%D0%B4%D0%B5%D0%BB%D0%B0%22],%22noOrpho%22:false,%22facet%22:{%22field%22:[%22type%22]},%22facetLimit%22:21,%22additionalFields%22:[%22case_user_doc_number%22,%22case_user_document_type%22,%22u_case_user_article%22,%22case_user_entry_date%22,%22case_user_doc_result_date%22,%22case_doc_subject_rf%22,%22case_user_doc_court%22,%22u_common_case_defendant_name%22,%22case_user_doc_result%22],%22hlFragSize%22:1000,%22groupLimit%22:3,%22woBoost%22:false}",2021
